Requirement,Result,Evidence
"DEP-001","Pass","E-QUALITY; E-PACKAGE; E-HOST"
"DEP-002","Partial","E-QUALITY; E-PACKAGE; E-INSPECT — Complete the clean-host or instrumented setup demonstration"
"DEP-003","Pass","E-QUALITY; E-PACKAGE; E-HOST"
"DEP-004","Pass","E-QUALITY; E-INSPECT"
"DEP-005","Pass","E-QUALITY; E-INSPECT"
"DEP-006","Partial","E-QUALITY; E-PACKAGE; E-INSPECT — Complete the clean-host or instrumented setup demonstration"
"DEP-007","Partial","E-QUALITY; E-PACKAGE; E-INSPECT — Complete the clean-host or instrumented setup demonstration"
"DEP-008","Pass","E-QUALITY; E-INSPECT"
"BLD-001","Partial","E-QUALITY; E-PACKAGE — Complete the specified clean-source, negative, or offline fixture"
"BLD-002","Partial","E-PACKAGE — Windows and macOS source flows remain Open"
"BLD-003","Pass","E-QUALITY; E-UNIT"
"BLD-004","Partial","E-QUALITY; E-PACKAGE — Complete the specified clean-source, negative, or offline fixture"
"BLD-005","Pass","E-PACKAGE"
"BLD-006","Partial","E-QUALITY; E-PACKAGE — Complete the specified clean-source, negative, or offline fixture"
"BLD-007","Pass","E-HOST"
"BLD-008","Partial","E-QUALITY; E-PACKAGE — Complete the specified clean-source, negative, or offline fixture"
"DEL-001","Open","E-DELIVERY — No source tag, published asset, or successive-release fixture exists"
"DEL-002","Partial","E-HOST — Published and offline Matrix E checks remain Open"
"DEL-003","Partial","E-HOST — Published and offline Matrix E checks remain Open"
"DEL-004","Open","E-DELIVERY — No source tag, published asset, or successive-release fixture exists"
"DEL-005","Partial","E-PACKAGE; E-DOC — The release tag remains Open"
"DEL-006","Open","E-DELIVERY — No source tag, published asset, or successive-release fixture exists"
"DEL-007","Open","E-DELIVERY — No source tag, published asset, or successive-release fixture exists"
"DEL-008","Open","E-DELIVERY — No source tag, published asset, or successive-release fixture exists"
"DOC-001","Partial","E-DOC; E-INSPECT — Complete the stated source, release, or command-flow demonstration"
"DOC-002","Partial","E-DOC; E-INSPECT — Complete the stated source, release, or command-flow demonstration"
"DOC-003","Partial","E-DOC; E-INSPECT — Complete the stated source, release, or command-flow demonstration"
"DOC-004","Pass","E-DOC; E-QUALITY"
"DOC-005","Partial","E-DOC; E-INSPECT — Complete the stated source, release, or command-flow demonstration"
"DOC-006","Partial","E-DOC; E-INSPECT — Complete the stated source, release, or command-flow demonstration"
"DOC-007","Pass","E-INSPECT"
"DOC-008","Pass","E-DOC; E-QUALITY"
"DOC-009","Partial","E-INSPECT — Final source commit, tag, and published assets remain Open"
"DOC-010","Partial","E-INSPECT — Complete the stated release and cross-window checks"
"DOC-011","Pass","E-INSPECT"
"DOC-012","Partial","E-INSPECT — Full approved-word review remains Open"
"DOC-013","Pass","E-INSPECT"
"DOC-014","Partial","E-DOC; E-PACKAGE; E-HOST — Other host and published-tag examples remain Open"
"DOC-015","Pass","E-DOC; E-PACKAGE"
"DOC-016","Pass","E-DOC; E-PACKAGE"
"DOC-017","Pass","E-INSPECT; E-QUALITY"
"COD-001","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-002","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-003","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-004","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-005","Pass","E-QUALITY; E-UNIT"
"COD-006","Pass","E-QUALITY; E-UNIT"
"COD-007","Pass","E-QUALITY; E-UNIT"
"COD-008","Pass","E-UNIT; E-INSPECT"
"COD-009","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-010","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-011","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-012","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-013","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-014","Partial","E-QUALITY; E-INSPECT — Complete the remaining Contract Q negative or cleanup fixtures"
"COD-015","Pass","E-UNIT; E-PERF"
